acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre
"Boris Rehlinger,Antonio Banderas,Diane Dassigny",7,102,502167,"Aventure,Animation,Comédie",U.S.A.,"Januel P. Mercado,Joel Crawford",Universal Pictures International France,Le Chat Potté 2 : la dernière quête
"Suzanne Jouannet,Marie Colomb,Maud Wyler",7,107,35015,Drame,France,Frédéric Mermoud,Pyramide Distribution,La Voie Royale
"Jason Momoa,Patrick Wilson,Amber Heard",10,124,552105,"Action,Aventure,Fantastique",U.S.A.,James Wan,Warner Bros. France,Aquaman et le Royaume perdu
"Mélinée Leclerc,Clotilde Hesme,Laetitia Dosch",6,76,27224,"Animation,Comédie,Famille",France,"Chiara Malta,Sébastien Laudenbach",Gebeka Films,Linda veut du poulet !
"Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson",9,125,110381,"Drame,Thriller",U.S.A.,Olivia Newman,Sony Pictures Releasing France,Là où chantent les écrevisses
"Josiane Balasko,Didier Bourdon,Marilou Berry",8,95,198247,Comédie,France,Alexandra Leclère,UGC Distribution,Mes très chers enfants
"Brad Pitt,Joey King,Aaron Taylor-Johnson",15,127,491067,"Action,Thriller",U.S.A.,David Leitch,Sony Pictures Releasing France,Bullet Train
"Brendan Fraser,Sadie Sink,Ty Simpkins",7,117,65064,Drame,U.S.A.,Darren Aronofsky,ARP Sélection,The Whale
"Josh Hutcherson,Piper Rubio,Elizabeth Lail",8,110,493993,Epouvante-horreur,U.S.A.,Emma Tammi,Universal Pictures International France,Five Nights At Freddy's
"Pierfrancesco Favino,Linda Caridi,Antonio Gerardi",7,131,40869,"Policier,Thriller",Italie,Andrea Di Stefano,Universal Pictures International France,Dernière nuit à Milan
"Fabrice Eboué,Marina Foïs,Nicolas Lumbreras",10,88,126252,Comédie,France,Fabrice Eboué,Apollo Films / TF1 Studio,Barbaque
"Vincent Lacoste,Vicky Krieps,Jules Langlade",7,95,24444,Drame,France,Hélier Cisterne,Diaphana Distribution,De nos frères blessés
"Niels Schneider,Ariane Labed,Souheila Yacoub",6,100,11869,Comédie dramatique,France,"Alice Zeniter,Benoît Volnais",Pyramide Distribution,Avant l’effondrement
"Sam Worthington,Zoe Saldana,Sigourney Weaver",27,192,2739848,"Action,Aventure,Fantastique",U.S.A.,James Cameron,The Walt Disney Company France,Avatar : la voie de l'eau
"Jorma Tommila,Aksel Hennie,Jack Doolan",7,91,44625,"Action,Guerre",Finlande,Jalmari Helander,SND,SISU - De l'Or et du Sang
"Dave Turner,Ebla Mari,Claire Rodgerson",7,113,96295,Drame,France,Ken Loach,Le Pacte,The Old Oak
"John David Washington,Kenneth Branagh,Robert Pattinson",14,150,948378,"Action,Science Fiction",U.S.A.,Christopher Nolan,Warner Bros. France,Tenet
"Manolo Solo,José Coronado,Ana Torrent",3,169,14004,Drame,Espagne,Victor Erice,Haut et Court,Fermer les yeux
"Viola Davis,Thuso Mbedu,Lashana Lynch",18,135,100875,"Action,Drame,Historique",U.S.A.,Gina Prince-Bythewood,Sony Pictures Releasing France,The Woman King
"Cailee Spaeny,Jacob Elordi,Dagmara Dominczyk",11,113,144773,"Biopic,Drame",U.S.A.,Sofia Coppola,ARP Sélection,Priscilla
"Vincent Lacoste,François Cluzet,Adèle Exarchopoulos",6,101,215443,"Comédie,Comédie dramatique,Drame",France,Thomas Lilti,Le Pacte,Un métier sérieux
"Brigette Lundy-Paine,Carloto Cotta,Anabela Moreira",6,92,57593,"Epouvante-horreur,Thriller",Portugal,Gabriel Abrantes,Le Pacte,Amelia's Children
"Bastien Bouillon,Bouli Lanners,Théo Cholbi",9,114,96667,"Policier,Thriller",France,Dominik Moll,Haut et Court,La Nuit du 12
"Robert Pattinson,Zoë Kravitz,Paul Dano",31,177,1165588,"Action,Policier,Thriller",U.S.A.,Matt Reeves,Warner Bros. France,The Batman
"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen",18,154,1089875,"Action,Aventure",U.S.A.,James Mangold,The Walt Disney Company France,Indiana Jones et le Cadran de la Destinée
"Pierre Tessier,Chris Pratt,Jérémie Covillault",7,92,1866914,"Animation,Comédie,Famille",U.S.A.,"Aaron Horvath,Michael Jelenic",Universal Pictures International France,"Super Mario Bros, le film"
"Taissa Farmiga,Jonas Bloquet,Storm Reid",10,109,464102,Epouvante-horreur,U.S.A.,Michael Chaves,Warner Bros. France,La Nonne : La Malédiction de Sainte Lucie
"Berkay Ateş,Taner Birsel,Sibel Kekilli",3,114,2115,"Policier,Drame,Thriller",Turquie,Özcan Alper,Outplay Films,Nuit Noire en Anatolie
"Gisela Yupa,Cleiner Yupa,Jorge Pomacanchari",0,80,277,Drame,Pérou,Leonardo Barbuy La Torre,Bobine Films,Diógenes
"Jean Dujardin,Anaïs Demoustier,Sandrine Kiberlain",12,107,592681,"Policier,Thriller",France,Cédric Jimenez,StudioCanal,Novembre
"Alexandra Lamy,Muriel Robin,Hugo Questel",7,99,298308,Drame,France,Lisa Azuelos,SND,La Chambre des merveilles
"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult",10,108,124279,Thriller,U.S.A.,Mark Mylod,The Walt Disney Company France,Le Menu
"Tom Cruise,Miles Teller,Jennifer Connelly",32,131,1529608,Action,U.S.A.,Joseph Kosinski,Paramount Pictures France,Top Gun: Maverick
"Chris Pratt,Zoe Saldana,Dave Bautista",19,150,1323124,"Action,Fantastique,Science Fiction",U.S.A.,James Gunn,The Walt Disney Company France,Les Gardiens de la Galaxie 3
"Harris Dickinson,Charlbi Dean Kriek,Woody Harrelson",10,149,179786,"Comédie,Drame",Suède,Ruben Östlund,Bac Films,Sans filtre
"Alex Lutz,Karin Viard,Jérôme Pouly",7,90,58679,"Drame,Romance",France,Alex Lutz,StudioCanal,Une nuit
"Nadia Tereszkiewicz,Rebecca Marder,Isabelle Huppert",8,103,427391,"Comédie,Comédie dramatique,Policier",France,François Ozon,Gaumont Distribution,Mon Crime
"Vin Diesel,Michelle Rodriguez,Jason Momoa",12,141,1140846,Action,U.S.A.,Louis Leterrier,Universal Pictures International France,Fast & Furious X
"Bérénice Bejo,Élodie Bouchez,Émilie Caen",4,104,71825,Comédie,France,Melissa Drigeard,Warner Bros. France,Hawaii
"Catherine Deneuve,Denis Podalydès,Michel Vuillermoz",9,92,267041,Comédie,France,Léa Domenach,Warner Bros. France,Bernadette
"Virginie Efira,Benoît Magimel,Grégoire Colin",13,105,142841,Drame,France,Alice Winocour,Pathé,Revoir Paris
"Chris Pine,Michelle Rodriguez,Regé-Jean Page",8,134,420168,"Aventure,Fantastique",U.S.A.,"Jonathan Goldstein (XII),John Francis Daley",Paramount Pictures France,Donjons & Dragons : L'Honneur des voleurs
"Guillaume Canet,Laetitia Dosch,Patience Munchenbach",9,100,128852,"Drame,Fantastique",France,Just Philippot,Pathé,Acide
"Paul Mescal,Frankie Corio,Celia Rowlson-Hall",8,102,38094,Drame,Grande-Bretagne,Charlotte Wells,Condor Distribution / MUBI,Aftersun
"Lesley Manville,Isabelle Huppert,Lambert Wilson",8,116,38711,"Comédie,Comédie dramatique,Drame",Grande-Bretagne,Anthony Fabian,Universal Pictures International France,Une robe pour Mrs. Harris
"Idris Elba,Tilda Swinton,Aamito Lagum",9,109,95617,"Drame,Fantastique,Romance",Australie,George Miller,Metropolitan FilmExport,Trois Mille ans à t’attendre
"Virginie Efira,Bruno Salomone,Quim Gutiérrez",8,107,68324,Drame,France,Antoine Barraud,Paname Distribution / UFO,Madeleine Collins
"Jonathan Groff (II),Ben Aldridge,Dave Bautista",8,105,109685,"Epouvante-horreur,Thriller",U.S.A.,M. Night Shyamalan,Universal Pictures International France,Knock at the Cabin
"Michel Blanc,Julia Piaton,Lionel Abelanski",9,90,250360,Comédie,France,Mélanie Auffret,Zinc Film,Les Petites victoires
"Philippe Lacheau,Élodie Fontan,Tarek Boudali",9,88,81100,Comédie,France,Philippe Lacheau,StudioCanal,Alibi.com 2
"Lou de Laâge,Raphaël Personnaz,Isabelle Carré",6,120,64039,Drame,France,Olivier Treiner,SND,Le Tourbillon de la vie
"Austin Butler,Tom Hanks,Olivia DeJonge",18,159,343596,"Biopic,Musical",U.S.A.,Baz Luhrmann,Warner Bros. France,Elvis
"Dany Boon,Kad Merad,Charlotte Gainsbourg",8,110,423667,Comédie,France,Dany Boon,Pathé,La Vie pour de vrai
"Céline Sallette,Nina Meurisse,Julie Ferrier",8,107,125566,"Drame,Thriller",France,Pierre Jolivet,Haut et Court,Les Algues vertes
"Juliette Gariepy,Laurie Fortin-Babin,Elisabeth Locas",5,118,14171,Thriller,Canada,Pascal Plante,ESC Films,Les Chambres rouges
"Jason Schwartzman,Scarlett Johansson,Tom Hanks",10,106,117498,"Comédie,Comédie dramatique,Drame",U.S.A.,Wes Anderson,Universal Pictures International France,Asteroid City
"Angourie Rice,Reneé Rapp,Avantika Vandanapu",7,113,53830,"Comédie,Musical",U.S.A.,"Samantha Jayne,Arturo Perez Jr.",Paramount Pictures France,"Mean Girls, lolita malgré moi"
"Franz Rogowski,Morr N’Diaye,Laetitia Ky",6,91,15437,Drame,France,Giacomo Abbruzzese,KMBO,Disco Boy
"Margaret Qualley,Joe Alwyn,Benny Safdie",7,138,13094,"Drame,Romance,Thriller",France,Claire Denis,Ad Vitam,Stars At Noon
"Emilie Dequenne,Max Boublil,Arthur Roose",6,85,3551,"Comédie,Drame",France,Claire Vassé,Nour Films,Double foyer
"Kenneth Branagh,Gal Gadot,Emma Mackey",15,127,336133,"Policier,Thriller",U.S.A.,Kenneth Branagh,The Walt Disney Company France,Mort sur le Nil
"Loïse Charpentier,Maryne Bertieaux,Aurélie Konaté",6,80,44535,Animation,France,Benoît Chieux,Haut et Court,Sirocco et le royaume des courants d'air
"Daniel Kaluuya,Keke Palmer,Steven Yeun",16,130,224705,"Epouvante-horreur,Science Fiction,Thriller",U.S.A.,Jordan Peele,Universal Pictures International France,Nope
"Lévanah Solomon,Nanoka Hara,Benjamin Jungers",6,122,181032,"Aventure,Animation,Drame",Japon,Makoto Shinkai,Eurozoom,Suzume
"Jean Dujardin,Joséphine Japy,Izïa Higelin",8,94,438142,Drame,France,Denis Imbert,Apollo Films / TF1 Studio,Sur les chemins noirs
"Jason Statham,Sylvester Stallone,Andy Garcia",12,103,154647,"Action,Thriller",U.S.A.,Scott Waugh,Metropolitan FilmExport,Expend4bles
"Kacey Mottet Klein,Ariane Labed,Grégoire Colin",6,90,1912,Fantastique,France,Adrien Beau,The Jokers / Les Bookmakers,Le Vourdalak
"Lakeith Stanfield,Tiffany Haddish,Owen Wilson",13,122,288762,"Aventure,Comédie,Famille",U.S.A.,Justin Simien,The Walt Disney Company France,Le Manoir hanté
"Didier Bourdon,Caroline Anglade,Yann Papin",5,84,45576,"Comédie,Policier",France,Benjamin Lehrer,KMBO,38°5 quai des orfèvres
"Emily Mortimer,Robyn Nevin,Bella Heathcote",7,89,39142,Epouvante-horreur,U.S.A.,Natalie Erika James,Star Invest Films France,Relic
"Halle Bailey,Cerise Calixte,Jonah Hauer-King",12,136,582814,"Aventure,Famille,Fantastique",U.S.A.,Rob Marshall,The Walt Disney Company France,La Petite sirène
"Bayan Layla,Derya Durmaz,Nazmi Kırık",3,110,422,Drame,Allemagne,Milena Aboyan,Wayna Pitch,Elaha
"Louane Emera,Michel Blanc,Victor Belmondo",7,103,127499,"Comédie,Comédie dramatique,Drame",France,Jean-Pierre Améris,ARP Sélection,Marie-Line et son juge
"Daniel Auteuil,Emmanuelle Devos,Jeanne Cherhal",10,99,90037,Drame,Belgique,Joachim Lafosse,Les Films du Losange,Un silence
,0,47,4049,"Animation,Famille",France,"Sonia Gerbeaud,Jan Gadermann,Meinardas Valkevicius",Les Films du Préau,Les Petits singuliers
"Gilles Lellouche,François Civil,Karim Leklou",12,104,483381,"Policier,Thriller",France,Cédric Jimenez,StudioCanal,Bac Nord
"Gilles Lellouche,Vincent Lacoste,Anaïs Demoustier",3,80,87446,Comédie,France,Quentin Dupieux,Gaumont Distribution,Fumer fait tousser
"Patrick Borg,Masako Nozawa,Mark Lesser",11,99,218070,"Action,Animation,Fantastique",Japon,Tetsuro Kodama,Sony Pictures Releasing France,Dragon Ball Super: Super Hero
" D’Jal,Sarah Perles,Pierre Azéma",4,91,147706,Comédie,France,Frank Cimière,Sony Pictures Releasing France,Opération Portugal
"Lambert Wilson,Josiane Balasko,Sylvie Testud",7,90,109081,Comédie,France,Isabelle Mergault,Zinc Film,Des mains en or
"Battsooj Uurtsaikh,Nominjiguur Tsend,Tuguldur Batsaikhan",0,98,26073,Drame,Mongolie,Zoljargal Purevdash,Eurozoom,Si seulement je pouvais hiberner
"Thierry Lhermitte,Patrick Timsit,Marie Bunel",6,80,63084,Comédie,France,Robin Sykes,Apollo Films / Orange Studio,Sexygénaires
"Carrie Coon,Finn Wolfhard,Mckenna Grace",15,124,280226,"Action,Aventure,Comédie",U.S.A.,Jason Reitman,Sony Pictures Releasing France,S.O.S. Fantômes : L'Héritage
"Thomas Schubert,Paula Beer,Langston Uibel",6,102,27500,"Comédie dramatique,Romance",Allemagne,Christian Petzold,Les Films du Losange,Le Ciel rouge
"Nassim Lyes,Loryn Nounay,Olivier Gourmet",10,100,79426,"Action,Thriller",France,Xavier Gens,StudioCanal,Farang
"Anthony Hopkins,Olivia Colman,Mark Gatiss",7,98,153927,Drame,Grande-Bretagne,Florian Zeller,Orange Studio Distribution / UGC Distribution,The Father
"Denis Podalydès,Léa Seydoux,Emmanuelle Devos",8,105,41734,"Drame,Romance",France,Arnaud Desplechin,Le Pacte,Tromperie
"Mia McKenna-Bruce,Lara Peake,Enva Lewis",7,91,34062,Drame,Grande-Bretagne,Molly Manning Walker,Condor Distribution,How to Have Sex
"Aloïs Agaësse-Mahieu,Micah Abbey,Kylian Trouillard",10,99,281644,"Action,Aventure,Animation",U.S.A.,"Jeff Rowe,Kyler Spears",Paramount Pictures France,Ninja Turtles: Teenage Years
"Mason Thames,Madeleine McGraw,Ethan Hawke",13,103,136339,"Epouvante-horreur,Thriller",U.S.A.,Scott Derrickson,Universal Pictures International France,Black Phone
"Yukino Kishii,Tomokazu Miura,Masaki Miura",5,99,18599,Drame,Japon,Sho Miyake,Art House,La Beauté du geste
"Jason Statham,Holt McCallany,Josh Hartnett",8,119,149025,"Action,Thriller",U.S.A.,Guy Ritchie,Metropolitan FilmExport,Un homme en colère
" Maïwenn,Johnny Depp,Benjamin Lavernhe",10,117,45029,"Drame,Historique,Romance",France, Maïwenn,Le Pacte,Jeanne du Barry
"François Damiens,William Lebghil,Laura Felpin",8,98,72930,Comédie,France,Cecilia Rouaud,SND,Les Complices
"Nicolas Cage,Julianne Nicholson,Jessica Clement",9,102,26466,"Comédie,Fantastique",U.S.A.,Kristoffer Borgli,Metropolitan FilmExport,Dream Scenario
"Franck Dubosc,Karin Viard,Clotilde Courau",7,100,124644,"Comédie,Romance",France,Philippe Lefebvre,UGC Distribution / Orange Studio,Nouveau départ
Virginie Efira,6,80,80338,"Aventure,Famille",Italie,Guillaume Maidatchevsky,UGC Distribution / TF1 Studio,Kina & Yuk : renards de la banquise
"Zabou Breitman,Pascal Elbé,Mélanie Bernier",6,103,52377,Comédie,France,Cécile Telerman,Zinc Film,Ma langue au chat
"Ana Girardot,Aure Atika,Rossy de Palma",13,90,18262,"Drame,Erotique",France,Anissa Bonnefont,Rezo Films,La Maison
"Rebecca Marder,Benjamin Lavernhe,Emmanuelle Bercot",6,105,82734,Drame,France,Sylvain Desclous,The Jokers / Les Bookmakers,De Grandes espérances
"Virginie Efira,Albert Dupontel,Nicolas Marié",8,87,600444,Comédie,France,Albert Dupontel,Gaumont Distribution,Adieu Les Cons
"Diane Kruger,Mathieu Kassovitz,Marta Nieto",11,123,100349,Thriller,France,Yann Gozlan,SND,Visions
"Léa Drucker,Benoît Poelvoorde,Alice Isaaz",7,136,302030,"Drame,Historique",France,Clovis Cornillac,Gaumont Distribution,Couleurs de l'incendie
"Tom Hardy,Woody Harrelson,Michelle Williams",19,98,676090,"Action,Fantastique",U.S.A.,Andy Serkis,Sony Pictures Releasing France,Venom: Let There Be Carnage
"Lambert Wilson,Grégory Gadebois,Marie Gillain",7,96,222130,Comédie,France,Eric Besnard,SND,Les Choses simples
"Swann Arlaud,Mélanie Thierry,Denis Podalydès",7,117,27911,Drame,France,Mathias Gokalp,Le Pacte,L'Établi
"Adèle Exarchopoulos,Alexandre Perrier,Mara Taquin",8,115,53656,"Comédie,Comédie dramatique,Drame",France,"Emmanuel Marre,Julie Lecoustre",Condor Distribution,Rien à foutre
"Gad Elmaleh,Régine Elmaleh,David Elmaleh",8,93,152695,Comédie,France,Gad Elmaleh,StudioCanal,Reste un peu
"Valérie Lemercier,Finnegan Oldfield,Elsa Guedj",7,105,15732,Comédie dramatique,France,Bryan Marciano,UGC Distribution / TF1 Studio,L'Arche de Noé
"Vincent Ropion,Akira Kamiya,Anne Rondeleux",2,94,35833,"Action,Animation,Comédie",Japon,"Kazuyoshi Takeuchi,Kenji Kodama",Star Invest Films France,Nicky Larson - City Hunter: Angel Dust
"Alain Chabat,Léa Drucker,Benoît Magimel",4,74,133330,Comédie,France,Quentin Dupieux,Diaphana Distribution,Incroyable mais vrai
"Roschdy Zem,Anouk Grinberg,Noémie Merlant",9,100,192906,Comédie,France,Louis Garrel,Ad Vitam,L'Innocent
"Joaquin Phoenix,Nathan Lane,Amy Ryan",8,179,35019,"Aventure,Comédie,Drame",U.S.A.,Ari Aster,ARP Sélection,Beau Is Afraid
"Cate Blanchett,Nina Hoss,Noémie Merlant",12,158,98869,Drame,U.S.A.,Todd Field,Universal Pictures International France,Tár
"Stefano Cassetti,Manal Issa,Danil Vorobyev",3,85,260,"Drame,Romance",France,Charles Guérin Surville,Beabia Films,Follia
"Lubna Azabal,Saleh Bakri,Ayoub Missioui",7,122,54381,"Drame,Romance",France,Maryam Touzani,Ad Vitam,Le Bleu du Caftan
"Denis Podalydès,Jonathan Cohen,Stefan Crepon",7,114,88397,Comédie,France,Cédric Kahn,Ad Vitam,Making Of
"Lambert Wilson,Franck Dubosc,Guillaume De Tonquédec",10,98,271193,Comédie,France,Eric Lavaine,StudioCanal,Plancha
"Laure Calamy,Zita Hanrot,India Hair",10,120,68373,Comédie dramatique,France,Blandine Lenoir,Diaphana Distribution,Annie Colère
"Anne Hathaway,Jeremy Strong,Banks Repeta",12,115,155547,Drame,U.S.A.,James Gray,Universal Pictures International France,Armageddon Time
"Hugh Jackman,Laura Dern,Vanessa Kirby",8,123,102272,Drame,France,Florian Zeller,Orange Studio Distribution / UGC Distribution,The Son
"Emilia Clarke,Chiwetel Ejiofor,Vinette Robinson",7,110,9440,"Comédie,Romance,Science Fiction",U.S.A.,Sophie Barthes,Jour2fête,The Pod Generation
"Khaled Hamdan,Abeer Mohammed,Samah Alamrani",5,91,7536,Drame,Yemen,Amr Gamal,Paname Distribution,Les Lueurs d'Aden
"Bob Odenkirk,Aleksey Serebryakov,Connie Nielsen",12,92,80440,Action,U.S.A.,Ilya Naishuller,Universal Pictures International France,Nobody
"Sabrina Levoye,Teïlo Azaïs,Jean-Pierre Lorit",6,94,41119,"Drame,Romance",France,Philippe Lioret,Paname Distribution,16 ans
"Karin Viard,Melvin Boomer,Steve Tientcheu",7,100,279606,Comédie dramatique,France,Jennifer Devoldere,Warner Bros. France,Sage-Homme
"Maria Lukyanova,Gela Chitava,Eldar Safikanov",4,119,3217,Drame,Russie,Ilya Povolotsky,Bodega Films,La Grâce
"Matthew McConaughey,Jenifer Bartoli,Reese Witherspoon",6,110,1173587,"Animation,Famille,Comédie musicale",U.S.A.,"Garth Jennings,Christophe Lourdelet",Universal Pictures International France,Tous en scène 2
"Franck Dubosc,Aure Atika,Swann Joulin",6,96,256753,Comédie,France,Ludovic Bernard,StudioCanal,10 jours encore sans maman
"Virginie Efira,Roschdy Zem,Chiara Mastroianni",11,103,142402,Drame,France,Rebecca Zlotowski,Ad Vitam,Les Enfants des autres
"Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang",8,117,114935,"Comédie,Drame",Danemark,Thomas Vinterberg,Haut et Court,Drunk
"Josh O'Connor,Carol Duarte,Isabella Rossellini",5,133,26496,"Comédie,Comédie dramatique,Drame",France,Alice Rohrwacher,Ad Vitam,La Chimère
"Ansel Elgort,Rachel Zegler,Ariana DeBose",21,157,177526,"Drame,Comédie musicale,Romance",U.S.A.,Steven Spielberg,The Walt Disney Company France,West Side Story
"Anouck Hautbois,Benjamin Bollen,Antoine Tomé",6,99,660421,"Action,Aventure,Animation",France,Jeremy Zag,SND,Miraculous - le film
"Thierry Lhermitte,Ramzy Bedia,François-Xavier Demaison",10,97,102659,Comédie,France,Audrey Dana,Warner Bros. France,Hommes au bord de la crise de nerfs
"Liam Neeson,Noma Dumezweni,Lilly Aspell",9,91,124439,"Action,Thriller",Allemagne,Nimród Antal,StudioCanal,Retribution
"Benoît Poelvoorde,Justine Lacroix,Joseph Rozé",6,87,12196,"Comédie,Comédie dramatique,Drame",France,Olivier Babinet,Haut et Court,Normale
"Vincent Lindon,Agathe Rousselle,Garance Marillier",7,108,88523,"Drame,Epouvante-horreur,Thriller",France,Julia Ducournau,Diaphana Distribution,Titane
"Leïla Bekhti,Damien Bonnard,Gabriel Merz Chammah",10,114,53677,Drame,Belgique,Joachim Lafosse,Les Films du Losange,Les Intranquilles
"Adam Driver,Ariana Greenblatt,Chloe Coleman",8,93,187043,"Action,Science Fiction,Thriller",U.S.A.,"Scott Beck,Bryan Woods",Sony Pictures Releasing France,65 - la Terre d'avant
"Fabrice Luchini,Mara Taquin,Maud Wyler",5,93,206646,Drame,France,Guillaume Nicloux,SND,La Petite
"Garance Marillier,Emilie Dequenne,Alban Lenoir",6,96,26273,Biopic,France,Virginie Verrier,The Jokers / Les Bookmakers,Marinette
" Artus,Elsa Zylberstein,Benjamin Tranié",5,89,100308,Comédie,France,Olivier Van Hoofstadt,UGC Distribution / TF1 Studio,Veuillez nous excuser pour la gêne occasionnée
"Vincent Macaigne,Aïssa Maïga,Evelyne Istria",9,99,60109,Comédie dramatique,France,"Andréa Bescond,Eric Métayer",Ad Vitam,Quand tu seras grand
"Laure Calamy,Vincent Elbaz,Suzanne de Baecque",7,98,167511,"Comédie,Comédie dramatique,Drame",France,Caroline Vignal,Diaphana Distribution,Iris et les hommes
"Leslie Odom Jr.,Ellen Burstyn,Ann Dowd",11,112,264818,Epouvante-horreur,U.S.A.,David Gordon Green,Universal Pictures International France,L'Exorciste - Dévotion
"Nanni Moretti,Margherita Buy,Silvio Orlando",3,95,91786,"Comédie,Comédie dramatique,Drame",Italie,Nanni Moretti,Le Pacte,Vers un avenir radieux
"Lazare Herson-Macarel,Eric Herson-Macarel,Damien Boisseau",8,95,49532,"Aventure,Animation,Drame",France,Patrick Imbert,Wild Bunch Distribution,Le Sommet des Dieux
