acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre
"Ezra Miller,Sasha Calle,Michael Shannon",17,144,388700,"Action,Fantastique,Science Fiction",U.S.A.,Andy Muschietti,Warner Bros. France,The Flash
"Elsa Zylberstein,Rebecca Marder,Élodie Bouchez",9,140,486242,"Biopic,Drame",France,Olivier Dahan,Warner Bros. France,"Simone, le voyage du siècle"
"Ralph Fiennes,Gemma Arterton,Rhys Ifans",15,131,336793,"Action,Espionnage",Grande-Bretagne,Matthew Vaughn,The Walt Disney Company France,The King's Man : Première Mission
"Tom Cruise,Hayley Atwell,Ving Rhames",21,163,930141,"Action,Aventure,Espionnage",U.S.A.,Christopher McQuarrie,Paramount Pictures France,Mission: Impossible – Dead Reckoning Partie 1
"Yvan Attal, Maïwenn,Guillaume Canet",8,85,221196,Thriller,France,Yvan Attal,SND,Un coup de dés
"Shailene Woodley,Ben Mendelsohn,Jovan Adepo",1,119,100146,"Policier,Thriller",U.S.A.,Damián Szifron,Metropolitan FilmExport,Misanthrope
"Franck Dubosc,Aure Atika,Alexis Michalik",5,98,541102,Comédie,France,Ludovic Bernard,StudioCanal,10 jours sans maman
"Guillaume Canet,Gilles Lellouche,Marion Cotillard",21,112,1882686,"Aventure,Comédie",France,Guillaume Canet,Pathé,Astérix et Obélix : L'Empire du milieu
"Jim Caviezel,Bill Camp,Cristal Aparicio",8,131,63782,"Action,Biopic,Drame",U.S.A.,Alejandro Monteverde,Saje Distribution,Sound of Freedom
"Stéphane Bak,Shameik Moore,Shirine Boutella",11,141,550808,"Action,Aventure,Animation",U.S.A.,"Joaquim Dos Santos,Kemp Powers,Justin Thompson",Sony Pictures Releasing France,Spider-Man : Across The Spider-Verse
