acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,19 814 271 €,,  14/03/2012,1 006 479,,Comédie dramatique,France,,"
                                    Florent Emilio Siri",,,"
                Studiocanal","
                            CloClo",https://www.jpbox-office.com/fichfilm.php?id=12427&view=2
,8 460 000 €,,  06/02/2002,1 008 915,,Comédie,France,,"
                                    François Ozon",,,"
                Mars Distribution","
                            8 Femmes",https://www.jpbox-office.com/fichfilm.php?id=1748&view=2
,55 000 000 $,,  22/11/1995,1 008 846,,Animation,Etats-Unis,,,,,"
                GBVI","
                            Pocahontas",https://www.jpbox-office.com/fichfilm.php?id=3971&view=2
,125 000 000 $,,  26/05/2004,1 009 004,,Catastrophe,Etats-Unis,,"
                                    Roland Emmerich",,,"
                UFD","
                            Le Jour d'après",https://www.jpbox-office.com/fichfilm.php?id=1056&view=2
,110 000 000 $,,  04/07/2007,1 011 566,Franchise,Aventure - Action,Etats-Unis,,"
                                    Len Wiseman",,,"
                20th Century Fox","
                            Die Hard 4 - retour en enfer",https://www.jpbox-office.com/fichfilm.php?id=127&view=2
"
                            Jake Gyllenhaal,
                            Dennis Quaid",125 000 000 $,,  26/05/2004,1 009 004,,Catastrophe,Etats-Unis,,"
                                    Roland Emmerich",,,"
                UFD","
                            Le Jour d'après",https://www.jpbox-office.com/fichfilm.php?id=1056&view=2
,32 500 000 $,,  19/10/1983,1 011 878,Franchise,Fantasy,Etats-Unis,,,,,"
                Fox-Hachette","
                            Le Retour du Jedi",https://www.jpbox-office.com/fichfilm.php?id=6818&view=2
"
                            Bruce Willis",110 000 000 $,,  04/07/2007,1 011 566,Franchise,Aventure - Action,Etats-Unis,,"
                                    Len Wiseman",,,"
                20th Century Fox","
                            Die Hard 4 - retour en enfer",https://www.jpbox-office.com/fichfilm.php?id=127&view=2
"
                            Harrison Ford",32 500 000 $,John Williams,  19/10/1983,1 011 878,Franchise,Fantasy,Etats-Unis,George Lucas,,,,"
                Fox-Hachette","
                            Le Retour du Jedi",https://www.jpbox-office.com/fichfilm.php?id=6818&view=2
"
                            Amy Adams,
                            Franck Dubosc,
                            Idris Elba,
                            Diane Keaton,
                            Mathilde Seigner",,Thomas Newman,  22/06/2016,1 003 479,,Animation,Etats-Unis,John Lasseter,"
                                    Andrew Stanton",,,"
                Walt Disney Pictures","
                            Le Monde de Dory",https://www.jpbox-office.com/fichfilm.php?id=13617&view=2
"
                            Amy Adams,
                            Franck Dubosc,
                            Idris Elba,
                            Diane Keaton,
                            Mathilde Seigner",200 000 000 $,Thomas Newman,  22/06/2016,1 003 479,,Animation,Etats-Unis,John Lasseter,"
                                    Andrew Stanton",,,"
                Walt Disney Pictures","
                            Le Monde de Dory",https://www.jpbox-office.com/fichfilm.php?id=13617&view=2
,220 000 000 $,,  29/11/2017,948 846,,Animation,Etats-Unis,,"
                                    Lee Unkrich",,,"
                Walt Disney Pictures","
                            Coco (2017)",https://www.jpbox-office.com/fichfilm.php?id=16415&view=2
,205 000 000 $,,  26/08/2020,948 378,,Science Fiction,Etats-Unis,,"
                                    Christopher Nolan",,,"
                Warner Bros.","
                            Tenet",https://www.jpbox-office.com/fichfilm.php?id=19866&view=2
"
                            Robert Pattinson,
                            Kenneth Branagh,
                            Michael Caine,
                            Clémence Poésy",205 000 000 $,,  26/08/2020,948 378,,Science Fiction,Etats-Unis,Christopher Nolan,"
                                    Christopher Nolan",,,"
                Warner Bros.","
                            Tenet",https://www.jpbox-office.com/fichfilm.php?id=19866&view=2
,100 000 000 $,,  20/07/2005,952 331,Franchise,Comicbook,Etats-Unis,,,,,"
                20th Century Fox","
                            Les 4 Fantastiques",https://www.jpbox-office.com/fichfilm.php?id=713&view=2
"
                            Valérie Lemercier,
                            Catherine Deneuve,
                            Lambert Wilson,
                            Denis Podalydès,
                            Mathilde Seigner",,,  23/11/2005,953 105,,Comédie,France,,"
                                    Valérie Lemercier",,,"
                Gaumont Sony","
                            Palais Royal!",https://www.jpbox-office.com/fichfilm.php?id=710&view=2
"
                            Valérie Lemercier,
                            Catherine Deneuve,
                            Lambert Wilson,
                            Denis Podalydès,
                            Mathilde Seigner",14 010 000 €,,  23/11/2005,953 105,,Comédie,France,,"
                                    Valérie Lemercier",,,"
                Gaumont Sony","
                            Palais Royal!",https://www.jpbox-office.com/fichfilm.php?id=710&view=2
"
                            Chris Evans,
                            Jessica Alba",100 000 000 $,,  20/07/2005,952 331,Franchise,Comicbook,Etats-Unis,Kevin Feige,,,,"
                20th Century Fox","
                            Les 4 Fantastiques",https://www.jpbox-office.com/fichfilm.php?id=713&view=2
,125 000 000 $,,  07/04/2010,955 263,,Péplum,Etats-Unis,,"
                                    Louis Leterrier",Remake,,"
                Warner Bros.","
                            Le Choc des Titans (2010)",https://www.jpbox-office.com/fichfilm.php?id=10697&view=2
,185 000 000 $,,  01/08/2012,955 285,,Animation,Etats-Unis,,,,,"
                Walt Disney Pictures","
                            Rebelle",https://www.jpbox-office.com/fichfilm.php?id=12286&view=2
"
                            Pierre Arditi,
                            Jack Black,
                            Jackie Chan,
                            Dustin Hoffman,
                            Angelina Jolie,
                            Manu Payet,
                            Seth Rogen",,Hans Zimmer,  09/07/2008,955 571,Franchise,Animation,Etats-Unis,,,,,"
                Paramount","
                            Kung Fu Panda",https://www.jpbox-office.com/fichfilm.php?id=8&view=2
"
                            Pierre Arditi,
                            Jack Black,
                            Jackie Chan,
                            Dustin Hoffman,
                            Angelina Jolie,
                            Manu Payet,
                            Seth Rogen",130 000 000 $,Hans Zimmer,  09/07/2008,955 571,Franchise,Animation,Etats-Unis,,,,,"
                Paramount","
                            Kung Fu Panda",https://www.jpbox-office.com/fichfilm.php?id=8&view=2
,120 000 000 $,,  16/02/2022,955 650,,Aventure - Action,Etats-Unis,,,,,"
                Sony Pictures","
                            Uncharted",https://www.jpbox-office.com/fichfilm.php?id=21042&view=2
"
                            Leonardo DiCaprio,
                            Cameron Diaz,
                            Daniel Day-Lewis,
                            Brendan Gleeson,
                            Liam Neeson,
                            John C. Reilly",,Howard Shore,  08/01/2003,869 475,,Drame,Etats-Unis,,"
                                    Martin Scorsese",,,"
                SND","
                            Gangs of New York",https://www.jpbox-office.com/fichfilm.php?id=1756&view=2
"
                            Leonardo DiCaprio,
                            Cameron Diaz,
                            Daniel Day-Lewis,
                            Brendan Gleeson,
                            Liam Neeson,
                            John C. Reilly",97 000 000 $,Howard Shore,  08/01/2003,869 475,,Drame,Etats-Unis,,"
                                    Martin Scorsese",,,"
                SND","
                            Gangs of New York",https://www.jpbox-office.com/fichfilm.php?id=1756&view=2
,85 000 000 $,,  20/06/2007,871 826,Franchise,Aventure - Action,Etats-Unis,,"
                                    Steven Soderbergh",,,"
                Warner Bros.","
                            Ocean's Thirteen",https://www.jpbox-office.com/fichfilm.php?id=120&view=2
"
                            George Clooney,
                            Matt Damon,
                            Casey Affleck,
                            Don Cheadle,
                            Al Pacino,
                            Brad Pitt,
                            Andy Garcia,
                            Vincent Cassel",85 000 000 $,,  20/06/2007,871 826,Franchise,Aventure - Action,Etats-Unis,,"
                                    Steven Soderbergh",,,"
                Warner Bros.","
                            Ocean's Thirteen",https://www.jpbox-office.com/fichfilm.php?id=120&view=2
,70 000 000 $,,  16/03/2005,861 055,,Romance,Etats-Unis,,"
                                    Andy Tennant",,,"
                Gaumont Sony","
                            Hitch expert en séduction",https://www.jpbox-office.com/fichfilm.php?id=716&view=2
,140 000 000 $,,  30/04/2008,866 316,Franchise,Comicbook,Etats-Unis,,"
                                    Jon Favreau",,,"
                SND","
                            Iron Man",https://www.jpbox-office.com/fichfilm.php?id=16&view=2
