acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Chris Pratt,
                            Sylvester Stallone,
                            Bradley Cooper,
                            Vin Diesel",250 000 000 $,,  03/05/2023,1 323 124,Franchise,Comicbook,Etats-Unis,,"
                                    James Gunn",,,"
                Walt Disney Pictures","
                            Les Gardiens de la Galaxie 3",https://www.jpbox-office.com/fichfilm.php?id=22223&view=2
"
                            Alec Baldwin,
                            Sacha Baron Cohen,
                            José Garcia,
                            Chris Rock,
                            Jean-Paul Rouve,
                            Ben Stiller,
                            Michael Youn",,Hans Zimmer,  03/12/2008,1 338 230,Franchise,Animation,Etats-Unis,,,,,"
                Paramount","
                            Madagascar 2 : la grande évasion",https://www.jpbox-office.com/fichfilm.php?id=11&view=2
"
                            Alec Baldwin,
                            Sacha Baron Cohen,
                            José Garcia,
                            Chris Rock,
                            Jean-Paul Rouve,
                            Ben Stiller,
                            Michael Youn",150 000 000 $,Hans Zimmer,  03/12/2008,1 338 230,Franchise,Animation,Etats-Unis,,,,,"
                Paramount","
                            Madagascar 2 : la grande évasion",https://www.jpbox-office.com/fichfilm.php?id=11&view=2
,160 000 000 $,,  21/07/2010,1 305 534,,Science Fiction,Etats-Unis,,"
                                    Christopher Nolan",,,"
                Warner Bros.","
                            Inception",https://www.jpbox-office.com/fichfilm.php?id=11001&view=2
"
                            Leonardo DiCaprio,
                            Marion Cotillard,
                            Michael Caine,
                            Joseph Gordon-Levitt,
                            Tom Hardy,
                            Cillian Murphy,
                            Ellen Page",160 000 000 $,Hans Zimmer,  21/07/2010,1 305 534,,Science Fiction,Etats-Unis,Christopher Nolan,"
                                    Christopher Nolan",,,"
                Warner Bros.","
                            Inception",https://www.jpbox-office.com/fichfilm.php?id=11001&view=2
,175 000 000 $,,  13/04/2016,1 302 847,,Aventure - Action,Etats-Unis,,"
                                    Jon Favreau",,,"
                Walt Disney Pictures","
                            Le Livre de la jungle (2016)",https://www.jpbox-office.com/fichfilm.php?id=14882&view=2
"
                            Cécile De France,
                            Idris Elba,
                            Scarlett Johansson,
                            Bill Murray,
                            Christopher Walken,
                            Lambert Wilson",175 000 000 $,,  13/04/2016,1 302 847,,Aventure - Action,Etats-Unis,,"
                                    Jon Favreau",,,"
                Walt Disney Pictures","
                            Le Livre de la jungle (2016)",https://www.jpbox-office.com/fichfilm.php?id=14882&view=2
,175 000 000 $,,  29/07/2009,1 301 980,,Animation,Etats-Unis,John Lasseter,,,,"
                Walt Disney Pictures","
                            Là-haut",https://www.jpbox-office.com/fichfilm.php?id=10347&view=2
"
                            Vin Diesel,
                            Helen Mirren,
                            Kurt Russell,
                            Charlize Theron",200 000 000 $,Brian Tyler,  14/07/2021,1 301 589,Franchise,Aventure - Action,Etats-Unis,Vin Diesel,"
                                    Justin Lin",,,"
                Universal","
                            Fast & Furious 9",https://www.jpbox-office.com/fichfilm.php?id=18988&view=2
,11 710 000 €,,  25/04/2001,1 185 945,,Romance,France,,"
                                    Jean-Pierre Jeunet",,,"
                UFD","
                            Le Fabuleux destin d'Amélie Poulain",https://www.jpbox-office.com/fichfilm.php?id=2076&view=2
,61 000 000 $,,  07/10/2015,1 190 062,Franchise,Fantasy,Etats-Unis,,,,,"
                20th Century Fox","
                            Le Labyrinthe : La Terre brûlée",https://www.jpbox-office.com/fichfilm.php?id=14554&view=2
,51 460 337 €,,  21/01/2015,1 192 842,Franchise,Thriller,France,,"
                                    Olivier Megaton",,,"
                EuropaCorp","
                            Taken 3",https://www.jpbox-office.com/fichfilm.php?id=14195&view=2
"
                            Omar Sy",,Eric Serra,  02/12/2009,1 213 383,Franchise,Animation,France,Luc Besson,"
                                    Luc Besson",,,"
                EuropaCorp","
                            Arthur et la vengeance de Maltazard",https://www.jpbox-office.com/fichfilm.php?id=9837&view=2
"
                            Mark Wahlberg",,,  16/07/2014,1 215 124,Franchise,Aventure - Action,Etats-Unis,Lorenzo di Bonaventura,"
                                    Michael Bay",,,"
                Paramount","
                            Transformers : l'âge de l'extinction",https://www.jpbox-office.com/fichfilm.php?id=13409&view=2
,110 000 000 $,,  15/12/2004,1 202 262,Franchise,Comédie,Etats-Unis,,"
                                    Steven Soderbergh",,,"
                Warner Bros.","
                            Ocean's Twelve",https://www.jpbox-office.com/fichfilm.php?id=1054&view=2
"
                            Omar Sy",63 237 392 €,Eric Serra,  02/12/2009,1 213 383,Franchise,Animation,France,Luc Besson,"
                                    Luc Besson",,,"
                EuropaCorp","
                            Arthur et la vengeance de Maltazard",https://www.jpbox-office.com/fichfilm.php?id=9837&view=2
