acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre,Nb_celebrites,Est_Top_Studio
"Sakura Andô,Eita Nagayama,Soya Kurokawa",8,127,63240,"Drame,Thriller",Japon,Hirokazu Kore-eda,Le Pacte,L'Innocence,0,1
"Riccardo Scamarcio,Daniel Brühl,Volker Bruch",7,107,32203,"Biopic,Drame",Italie,Stefano Mordini,Metropolitan FilmExport,Race for Glory: Audi vs Lancia,0,0
"Mélanie Thierry,Josiane Balasko,Marina Foïs",7,110,47251,"Drame,Historique,Thriller",France,Arnaud des Pallières,Wild Bunch Distribution,Captives,3,0
"Gemma Chan,Richard Madden,Salma Hayek",24,157,775467,"Action,Fantastique,Science Fiction",U.S.A.,Chloé Zhao,The Walt Disney Company France,Les Eternels,1,0
"Hafsia Herzi,Alexis Manenti,Nina Meurisse",8,97,29163,Drame,France,Iris Kaltenbäck,Diaphana Distribution,Le Ravissement,0,0
"Mia Goth,Jenna Ortega,Martin Henderson",10,105,31224,Epouvante-horreur,U.S.A.,Ti West,Kinovista,X - Le film,0,0
"Eric Fraticelli,Denis Braccini,Philippe Corti",5,92,101291,Comédie,France,Eric Fraticelli,Pan Distribution,Le Clan,0,0
"Marcelino António Ingira,Binete Undonque,Marta Dabo",1,118,399,"Drame,Guerre",Guinée-Bissau,Sana Na N'Hada,The Dark,Nome,0,0
"Ariane Ascaride,Bérénice Bejo,Thomas Scimeca",6,97,24474,Comédie dramatique,France,Camille Japy,Paname Distribution,Sous le tapis,0,0
"Michelle Yeoh,Ke Huy Quan,Jamie Lee Curtis",14,139,132121,"Action,Comédie,Drame",U.S.A.,"Daniel Scheinert,Daniel Kwan",Pathé Live,Everything Everywhere All at Once,0,0
"Brie Larson,Iman Vellani,Teyonah Parris",17,105,369007,"Action,Aventure,Fantastique",U.S.A.,Nia DaCosta,The Walt Disney Company France,The Marvels,1,0
"Corey Hawkins,Aisling Franciosi,Liam Cunningham",7,118,82375,"Epouvante-horreur,Thriller",U.S.A.,André Øvredal,Universal Pictures International France,Le Dernier Voyage du Demeter,0,0
"Jean Dujardin,Pierre Niney,Fatou N'Diaye",15,116,685878,"Aventure,Comédie,Espionnage",France,Nicolas Bedos,Gaumont Distribution,OSS 117: Alerte rouge en Afrique noire,2,0
"Ezra Miller,Sasha Calle,Michael Shannon",17,144,388700,"Action,Fantastique,Science Fiction",U.S.A.,Andy Muschietti,Warner Bros. France,The Flash,0,0
