,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,remake,salles_premiere_semaine,titre,scoring_acteurs_realisateurs,season,coeff_studio
143,30000000,,2012-10-31,118,424568,,Science Fiction,Etats-Unis,,,359,Looper,0.0344827586206896,Automne,2
144,11997009,,2005-09-28,95,425020,,Comédie,France,,,496,Il ne faut jurer de rien,0.4827586206896552,Automne,2
145,897814,,2023-10-18,118,424007,,Comédie,France,,,667,Une année difficile,0.0689655172413793,Automne,2
146,0,,2023-04-19,110,423667,,Comédie,France,,,702,La Vie pour de vrai,0.5862068965517241,Printemps,2
147,8860000,,2002-03-06,100,422335,,Comédie,France,,,459,Monsieur Batignole,0.1034482758620689,Printemps,0
148,36130000,,2004-02-11,124,413940,,Western,France,,,501,"Blueberry, l'expérience interdite",0.2068965517241379,Hiver,2
149,85000000,,2015-08-05,116,415709,,Comédie,Etats-Unis,,,405,Ted 2,0.5172413793103448,Été,3
150,175000000,,2020-02-05,106,416180,,Comédie,Etats-Unis,,,514,Le Voyage du Dr Dolittle,0.6896551724137931,Hiver,3
151,55000000,James Horner,1995-10-04,100,395424,,Film familial,Etats-Unis,Steven Spielberg,,323,Casper,0.6896551724137931,Automne,0
152,85000000,Jerry Goldsmith,1997-10-01,125,394197,,Aventure - Action,Etats-Unis,,,447,Air Force One,0.2413793103448275,Automne,2
153,60000000,,2011-11-09,106,394179,,Aventure - Action,Etats-Unis,,,377,Contagion,1.2413793103448274,Automne,3
154,85000000,Hans Zimmer,2006-12-27,138,399396,,Romance,Etats-Unis,,,413,The Holiday,0.5862068965517242,Hiver,0
155,0,,2020-02-05,90,399199,Franchise,Comédie,France,,,503,Ducobu 3,0.0,Hiver,2
156,150000000,,2007-12-12,95,399704,,Animation,Etats-Unis,,,803,Bee movie - drole d'abeille,0.0,Hiver,3
157,20000000,,2011-07-27,92,397304,,Comédie,Etats-Unis,,,308,Bad Teacher,0.0,Été,3
158,3810000,,1996-11-20,75,396786,,Documentaire,France,Jacques Perrin,,194,"Microcosmos, le peuple de l'herbe",0.0,Automne,0
159,25000000,,2011-02-16,110,395113,,Romance,Etats-Unis,,,301,Sex Friends,0.2413793103448276,Hiver,3
160,80000000,,2001-07-18,102,399608,,Comédie,Etats-Unis,Steven Spielberg,,539,Evolution,0.0,Été,3
161,36000000,,1998-02-25,90,387470,,Comédie,Etats-Unis,,,221,In & Out,0.0,Hiver,0
162,58000000,,2010-11-17,111,389852,,Thriller,Etats-Unis,Lorenzo di Bonaventura,,385,Red,0.1724137931034483,Automne,2
163,6990000,,2006-02-22,110,391001,,Drame,France,,,282,L'Ivresse du pouvoir,0.6206896551724138,Hiver,1
164,37000000,,2011-03-09,112,372683,,Drame,Etats-Unis,,,237,Le Rite,0.2413793103448276,Printemps,3
165,104000000,,1997-04-02,112,373431,,Catastrophe,Etats-Unis,,,410,Le Pic de Dante,0.0,Printemps,0
166,40000000,Alan Silvestri,2001-04-25,125,374470,,Aventure - Action,Etats-Unis,,,404,Le Mexicain,0.6551724137931034,Printemps,0
167,130000000,Hans Zimmer,2010-12-15,96,375221,,Animation,Etats-Unis,,,695,Megamind 3D,0.6206896551724138,Hiver,3
168,20000000,Hans Zimmer,2014-01-22,133,375305,,Drame,Etats-Unis,Brad Pitt,,207,Twelve Years a Slave,0.5172413793103449,Hiver,0
169,50000000,James Newton Howard,1995-04-12,128,364040,,Aventure - Action,Etats-Unis,,,314,Alerte,0.1379310344827586,Printemps,3
170,72000000,James Horner,1995-10-04,165,355642,,Aventure - Action,Etats-Unis,,,302,Braveheart,0.3448275862068966,Automne,2
171,60000000,,2009-03-04,120,357977,,Comédie,Etats-Unis,,,348,Marley & Moi,0.0,Printemps,3
172,50000000,Howard Shore,1996-08-07,117,359897,,Comédie dramatique,Etats-Unis,,,-,Striptease,0.0,Été,2
173,85000000,,2005-09-21,102,346788,,Comédie,Etats-Unis,,,491,Ma sorcière bien-aimée,0.3448275862068966,Automne,1
174,9400000,,2006-05-19,121,340937,,Comédie,Espagne,,,246,Volver,0.0,Printemps,2
175,100000000,James Newton Howard,2004-02-04,103,341151,,Fantasy,Etats-Unis,,,579,Peter Pan,0.0,Hiver,3
176,5330000,,2003-09-17,93,341667,,Comédie,France,,,279,Jeux d'enfants,0.8620689655172413,Automne,0
177,11581667,,2007-01-31,120,341820,,Comédie,France,,,465,Molière,0.2413793103448276,Hiver,0
178,70000000,,1990-10-03,123,343054,Franchise,Aventure - Action,Etats-Unis,Joel Silver,,,58 minutes pour vivre,0.0344827586206896,Automne,3
179,90000000,,2022-02-09,127,336133,,Thriller,Etats-Unis,Ridley Scott,,457,Mort sur le Nil (2022),0.2758620689655172,Hiver,3
180,30000000,,2003-09-24,98,329213,,Aventure - Action,Chine,,,375,Hero,0.0,Automne,0
181,30000000,,2015-09-09,101,329959,,Thriller,Etats-Unis,,,246,Prémonitions,0.3448275862068966,Automne,2
